"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/05/2020","AirNow","040128000","3","4.7","ug/m3 LC","20","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/06/2020","AirNow","040128000","3","3.6","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/07/2020","AirNow","040128000","3","3.5","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/08/2020","AirNow","040128000","3","1.3","ug/m3 LC","5","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/09/2020","AirNow","040128000","3","1.5","ug/m3 LC","6","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/10/2020","AirNow","040128000","3","2.5","ug/m3 LC","10","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/11/2020","AirNow","040128000","3","3.5","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/12/2020","AirNow","040128000","3","3.7","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/13/2020","AirNow","040128000","3","4.8","ug/m3 LC","20","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/14/2020","AirNow","040128000","3","3.1","ug/m3 LC","13","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"04/15/2020","AirNow","040128000","3","3.5","ug/m3 LC","15","ALAMO LAKE","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","012","La Paz","34.2439","-113.5586"
"01/01/2020","AirNow","040130019","3","149.1","ug/m3 LC","199","WEST PHOENIX","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/02/2020","AirNow","040130019","3","21.4","ug/m3 LC","71","WEST PHOENIX","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/03/2020","AirNow","040130019","3","18.6","ug/m3 LC","65","WEST PHOENIX","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/04/2020","AirNow","040130019","3","29.7","ug/m3 LC","88","WEST PHOENIX","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/05/2020","AirNow","040130019","3","28.6","ug/m3 LC","86","WEST PHOENIX","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/06/2020","AirNow","040130019","3","15.5","ug/m3 LC","58","WEST PHOENIX","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/07/2020","AirNow","040130019","3","16.7","ug/m3 LC","61","WEST PHOENIX","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
